id,line,log_line
56381,15,2.708050201
56382,2,0.693147181
56384,4,1.386294361
56410,2,0.693147181
56416,772,6.64898455
56420,187,5.231108617
56423,63,4.143134726
56428,6,1.791759469
56437,9,2.197224577
56440,4,1.386294361
56441,913,6.816735881
56442,306,5.723585102
56447,5,1.609437912
56462,11,2.397895273
56470,86,4.454347296
56471,3,1.098612289
56482,86,4.454347296
56485,9,2.197224577
56486,103,4.634728988
56496,2,0.693147181
56504,2,0.693147181
56506,21,3.044522438
56507,48,3.871201011
56510,422,6.045005314
56511,8,2.079441542
56513,147,4.990432587
56525,90,4.49980967
56527,125,4.828313737
56532,32,3.465735903
56544,217,5.379897354
56591,64,4.158883083
56614,1,0
56622,8,2.079441542
56623,92,4.521788577
56628,67,4.204692619
56642,228,5.429345629
56663,190,5.247024072
56667,79,4.369447852
56670,42,3.737669618
56677,51,3.931825633
56692,47,3.850147602
56694,19,2.944438979
56695,415,6.02827852
56709,634,6.452048954
56710,2114,7.656337166
56711,70,4.248495242
56712,2,0.693147181
56714,86,4.454347296
56717,2,0.693147181
56725,171,5.141663557
56726,121,4.795790546
56729,45,3.80666249
56737,4,1.386294361
56740,26,3.258096538
56745,15962,9.677966176
56746,117,4.762173935
56751,9,2.197224577
56753,6,1.791759469
56759,30,3.401197382
